poem_text,poem_type
"Gruesome
Fearsome
Loathsome
Toothsome
Sly grins lie in gruesome, fearsome life,
Venturing with loathsome, toothsome wife.",tyburn
"Depression is a fact of life for me.
As much a part of life as food and air,
It hovers like a dreaded entity.
It scatters joys like useless stale debris,
And sews the ashes of my dreams in gloom.
Depression is a fact of life for me.
It poises like a shadowing banshee
With somber wings just waiting to enshroud.
It hovers like a dreaded entity,
And I can almost always guarantee
Secreted in my spectral holidays
Depression is a fact of life for me.
My life becomes a frequent abductee
Purloined by mirthless bird of prey
It hovers like a dreaded entity..
A vulture pouncing when my back is turned,
But hidden, and not easily discerned.
Depression is a fact of life for me
It hovers like a dreaded entity.",villanelle
"The Pastoral Shadorma
February 24, 2020
Crow, crow, crow
It is early morn
Baa, baa, baa
Bawl, bawl, bawl
Bleat, bleat continue; then a
Turkey sounds gobble.",shadorma
"O damn the conventional
Parents'arranged marriages!
I don't want to see his
Face. Nor does he mine
No feelings. Zilch
Our kiss, if you call a kiss
Is a parchment rubbing our lips
Our tongues suffocate
I block him. He blocks me
In frustration we suffer
Castrated, neutered we now both feel
And yet we both could not rebel
We are utter strangers
In a cornered nightmarish union
Love by prescription
A marriage made in hell
Imprisoned, oppressed
Our lives out sucked
In the dry sahara of love
Clad in shrouds we're dead.",ekphrastic
"When Lent and Responsions are ended,
When May with fritillaries waits,
When the flower of the chestnut is splendid,
When drags are at all of the gates
(Those drags the philosopher 'slates'
With a scorn that is truly sublime),
Life wins from the grasp of the Fates
Sweet hours and the fleetest of time!
When wickets are bowl'd and defended,
When Isis is glad with 'the Eights,'
When music and sunset are blended,
When Youth and the summer are mates,
When Freshmen are heedless of 'Greats,'
And when note-books are cover'd with rhyme,
Ah, these are the hours that one rates -
Sweet hours and the fleetest of time!
When the brow of the Dean is unbended
At luncheons and mild tete-a-tetes,
When the Tutor's in love, nor offended
By blunders in tenses or dates;
When bouquets are purchased of Bates,
When the bells in their melody chime,
When unheeded the Lecturer prates -
Sweet hours and the fleetest of time!
ENVOY.
Reformers of Schools and of States,
Is mirth so tremendous a crime?
Ah! spare what grim pedantry hates -
Sweet hours and the fleetest of time!",ballade
"TO these whom death again did wed
This grave 's the second marriage-bed.
For though the hand of Fate could force
'Twixt soul and body a divorce,
It could not sever man and wife,
Because they both lived but one life.
Peace, good reader, do not weep;
Peace, the lovers are asleep.
They, sweet turtles, folded lie
In the last knot that love could tie.
Let them sleep, let them sleep on,
Till the stormy night be gone,
And the eternal morrow dawn;
Then the curtains will be drawn,
And they wake into a light
Whose day shall never die in night.",epitaph
"Chain Verse For Literature
- - - - - - - - - - - - - - - - - - - - - -
Life, river and
Nature
Side by side
Goes literature.
Copyright © Muzahidul Reza │ 13 July, 2018",chain-verse
"(In answer to Tom Gouws)
Your breath smells and tastes like a kind of spice
as a person you are delicate and carefree,
you are the most beautiful of all women and nice.
No other will to my heart's yearning suffice,
maybe you are like nutmeg or from the pepper tree.
Your breath smells and tastes like a kind of spice
and when I help when you prepare curry and rice,
our companionship does the loveliest food guarantee.
You are the most beautiful of all women and nice,
like coriander and mustard-seed you do me entice,
in you much more than a lovely woman I do see.
Your breath smells and tastes like a kind of spice,
you are not just a desire and my heart's caprice
as you do set all of the loveliest words of my heart free,
you are the most beautiful of all women and nice.
When you are gone longing pierces right through me,
as you are the dream of how a woman should be.
Your breath smells and tastes like a kind of spice,
you are the most beautiful of all women and nice.
[Reference:""villanelle vir die vertroude geliefde"" (villanelle for the love that I trust)by Tom Gouws.]
© Gert Strydom",villanelle
"(The Allegory - 16)
In the earth there are two chicks
With some food and drink
Are eating and drinking
And living like friends.
Copyright © Muzahidul Reza │11 March,2018",allegory
"Allegory: 15
The mountains are standing upwards
Humans are going downwards.
Copyright © Muzahidul Reza │2 March,2018",allegory
"I love you dearest wife of mine.
And passing times makes love grow more.
Within my heart, I’ve built a shrine
For love, and all the stock is thine
To take - to fill it’s thine to pour.
I love you dearest wife of mine.
Like winds, this love is not clandestine.
Like seas, of love, you can be sure.
Within my heart, I’ve built a shrine.
And to my tongue, there is a line,
That brings the freshness from the store.
I love you dearest wife of mine.
Your lips do sooth far more than wine.
You give your love with joy galore.
Within my heart, I’ve built a shrine.
My Love, my love, I can’t define,
Each time I think of you I soar.
I love you dearest wife of mine.
Within my heart, I’ve built a shrine.
Copyright © 2010 Leslie Alexis
Iambic Tetrameter",villanelle
"One sweltering day,
Wind howls, trees fall; it rains
White pellets- Hail, storm!",senryu
"The shades of night had fallen at last,
When through the house a shadow passed,
That once had been the Genial Dan,
But now become a desperate man,
At question time he waited near,
And on the Premier's startled ear
A voice fell like half a brick --
""Did ye, or did ye not, pay Crick
Did ye?""
By land and sea the Premier sped,
But found his foe where'er he fled,
The sailors swore -- with whitened lip --
That Neptune swam behind the ship:
When to the stern the Premier ran,
Behold, 'twas no one else but Dan,
And through the roaring of the gale
That clarion voice took up the tale,
""Ahot there! Answer, straight and slick!
Did not the Ministry pay Crick
Did they?""
In railway trains he sought retreat,
But soon, from underneath the seat,
With blazing eye and bristling beard,
His ancient enemy appeared,
And like a boiling torrent ran
The accents of the angry Dan --
""Tell me, John See, and tell me quick
Did not ye pay your shares to Crick
Did ye?""",ballad
"The earth is now infested with falsehood
That does pervade from its sky to ground,
Be aware of! O, truth holders
Otherwise, you it will fire
To bring your soul to hell
Where you will lose all.
About:
Reza Syllabic Verse (Edited, Revised And Additional Version) :
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
6 lines poem ─
Syllables meter: 10 in the 1st line,9 in the 2nd,8 in the 3rd,7 in the 4th,
6 in the 5th and 5 in the 6th line (10-9-8-7-6-5) ,
Syllables may be stressed or unstressed.
Rhyme scheme: ababcc; ababcd; abbacc; aabbcc
The aabbcc will be Heroic Reza syllabic Verse.
A simple refrain of 5th line may be as 6th line; if no refrain,
the 6th line will be an individual one.
Copyright © Muzahidul Reza │ 27 August, 2018",syllabic-verse
"G-reat
L-yric
A-lways
D-enotes
Y-our< br>N-iceness
E-xpressing
L-ife's
V-i ew
I-n
L-ovely
L-ines
E-ndorsing
T -rue
A-ffection
Topic: Birthday of Gladynel E. Villeta (July 21)
Form: Vertical Monocrostic",lyric
"Living things have always died because of mishaps
such as starvation or injury.
But there's another sort of death in which cells
and perhaps
controversially
even whole organisms choose annihilation
because
of the benefits it brings to some greater whole.
In other words, death is an evolutionary strategy.
It is most obvious
in the many varieties
of programmed cell death.
Or the result
of the self-destruct mechanism
found
in every multicellular organism.
My hand has five fingers
because the cells that used to live between them
died
when I was an embryo.
Most evolutionary biologists reject the idea of an innate 'death program'.
After all,
they point out,
animals die of old age in many different ways, not by
one
single
route
as apoptotic
cells
do.
Instead, they view senescence as a sort of evolutionary junkyard: natural selection has little reason
to get rid of flaws that appear late in life,
since few individuals are lucky enough to make it to old age.
But now that people routinely survive well past reproductive age,
we suffer
the invention evolution
never meant us to find: death by old age.",found-poem
"A tender, soft leaf once I was
Sprouting from bud I was watching beautiful nature
Soft sun shone on me
And rain drops drenched me much
Winds always caused me swing
Little birds sat on branch under me
It was spring
I was a single one in many
You, poet could not find me,
If I didn't mention you;
Slowly summer approached
Hardened my softness
That hard sun couldn't harm my face
One morning rain came
Make me much satisfied;
Then one morning many fallen leaves I found
Fall came I guessed
Next morning
I found myself on ground
A yellow fallen leaf;
Then dew drops and snow began to fall
I saw wrapping warm clothes people around;
But I was getting dried.
Copyright © Muzahidul Reza │ 9 July, 2018",dramatic-monologue
"Your preparation
Your meditation,
Your prayer and admiration
Your spirituality and salvation,
Your contemplation
Your devotion and promotion.
Copyright © Muzahidul Reza │ 16 December,2017",heroic-couplet
"Lies from you in the sweetest guise,
guise you were, spilling lies.
Tears on my pillow with all my fears,
fears of drowning in all my tears.
Pained with truth, my heart is stained,
stained with lies, my soul is pained.
'I love you' you say, your greatest lie,
lie about love between you and I.
True, you spoke it and I said it to you,
you said it as words, I said it as true.
With him you are not, that was a myth,
myth filled with lies, it's me you're not with.",sestet
"To commit every iniquity behind general eye
They form another sky
To establish the rule of hypocrisy.
Copyright © Muzahidul Reza| 9 November,2017",tercet
"Sometimes Life gives a crushing blow
That leaves one numbed from all the pain.
Thoughts are swayed to stay or go -
Whether to find new love again.
Lessons are marked and truly deep
Thoughts remind of love forsaken.
Fears may bar new paths to keep -
Whether to find new love again.
But like the new day, Hope rises,
It may not be true for all men,
Someone may come, the choice changes -
Whether to find new love again.
Copyright ~~~Cynthia Buhain Baello~~~ 04.14.14",kyrielle
"When I think of her sparkling face
And of her body that rocked this way and that,
When I think of her laughter,
Her jubilance that filled me,
It’s a wonder I’m not gone mad.
She is away and I cannot do what I want.
Other faces pale when I get close.
She is away and I cannot breathe her in.
The space her leaving has created
I have attempted to fill
With bodies that numbed upon touching,
Among them I expected her opposite,
And found only forgeries.
Her wholeness I know to be a fiction of my making,
Still I cannot dismiss the longing for her;
It is a craving for sensation new flesh
Cannot wholly calm or cancel,
It is perhaps for more than her.
At night above the parks the stars are swarming.
The streets are thick with nostalgia;
I move through senseless routine and insensitive chatter
As if her going did not matter.
She is away and I cannot breathe her in.
I am ill simply through wanting her.",lyric
"When I was young and in my prime
I was just an ugly duckling.
I'd stay at home and spend my time
With poetry and my sewing.
Hours were gold in this noble craft
I found joy creating something,
No parties for me, I thrived enough
With poetry and my sewing.
No late night's drain, my health was good
I got bored with all the dancing,
This wall flower bloomed as I should
With poetry and my sewing.
All Rights Reserved ~~Cynthia Buhain-Baello~~07.31.14",kyrielle
"Pen
in hand
I place nib
upon your face
looking at blank paper, I write my poem.",tetractys
"October dactylic
Poetry prolific,
PoemHunter publisher
Beautiful well-wisher.
Copyright © Muzahidul Reza | 13 November,2017",dactyl
"Those who define what is doggerel from poetry in their own ways seem small
To them even a well written rhyme poem is not poetry at all
Are their souls without music is poetry not song
Or is my thinking outdated have I got it wrong?
What to them is or is not poetry is their business not mine
They have their opinions and that suits me fine
As for me one who can't separate blank verse from prose
Must be unenlightened one would have to suppose.
Yet I do not apologize for my liking of rhyme
And for my favourite poets I must go back in time
And perhaps I do seem old fashioned in my antiquated way
When I say I do not have a liking of the poems of the major poets of today.
Of one deceptive modernist terminology I have taken note
There is no such a thing as a doggerel poet
The point of music in rhyme they somehow seem to miss
But even amongst some of the highly educated ignorance can be bliss.",doggerel
"Nature contains the elements we need
Of eating, wearing, sheltering
Applying, inventing, using
No want here of anything;
But we should not waste
Which will shorten
For future
Using
Sure.
Copyright © Muzahidul Reza | 6 November,2017",nonet
"In time, though snow would fall, the barn keeps warm,
As chores for Summer had been done complete
The sleepy spell that soon befalls the farm
Could not, by slightest bit, its mirth deplete
The cows have all the hay on which to feed
With grains that with the fodder would enmesh
If hay is brown, I guess what cows would need
For each a green eyeglass, so things look fresh
The barn sparrows found crevices for nests
Though naught are seen by cat's eyes that explore
One way to find if flock thereat still rests
Is by the droppings scattered on the floor
Insects abide, in sizes big and small
And crawl among the bales, to chirp or play
Crickets and kin, that since the end of Fall
Have lodged as ground tenants without delay
As ants have piled a great mound of their own
In maze of subways, sans a subway train
The matriarchal state nature has shown
Bonded together on a female brain.",pastoral
"Tan
Man
Hard
Band,
Truthful to work
Honest to earn.
About
RARe Stanza:
- - - - - - - - - -
6 Lines Poem ─
Syllables Meter: 1-1-1-1-4-4
Rhyme Scheme: aabbca; ababca; aaaaba.
RARe Stanza refers Right Angle Reza Stanza.
Geometric Theoretical Explanation of ‘RARe Stanza'
The 1st 4 (1-1-1-1) lines stand on the last 2 (4-4) lines,
At the joining point, line No.4 and 5 there the 90º angle is generated;
The 90º angle is known as Right Angle in Geometry.
Copyright © Muzahidul Reza │21 April,2018",stanza
"MONTANO, SILVIO, AND MIRTILLO, SHEPHERDS
MON.  Bad are the times.  SIL.  And worse than they are we.
MON.  Troth, bad are both; worse fruit, and ill the tree:
The feast of shepherds fail.  SIL.  None crowns the cup
Of wassail now, or sets the quintel up:
And he, who used to lead the country-round,
Youthful Mirtillo, here he comes, grief-drown'd.
AMBO.  Let's cheer him up.  SIL. Behold him weeping-ripe.
MIRT. Ah, Amarillis!  farewell mirth and pipe;
Since thou art gone, no more I mean to play
To these smooth lawns, my mirthful roundelay.
Dear Amarillis!  MON.  Hark!  SIL.  Mark!  MIRT.  This
earth grew sweet
Where, Amarillis, thou didst set thy feet.
AMBO  Poor pitied youth!  MIRT.  And here the breath
of kine
And sheep grew more sweet by that breath of thine.
This dock of wool, and this rich lock of hair,
This ball of cowslips, these she gave me here.
SIL.  Words sweet as love itself.  MON.  Hark!--
MIRT.  This way she came, and this way too she went;
How each thing smells divinely redolent!
Like to a field of beans, when newly blown,
Or like a meadow being lately mown.
MON.  A sweet sad passion----
MIRT.  In dewy mornings, when she came this way,
Sweet bents would bow, to give my Love the day;
And when at night she folded had her sheep,
Daisies would shut, and closing, sigh and weep.
Besides (Ai me!) since she went hence to dwell,
The Voice's Daughter ne'er spake syllable.
But she is gone.  SIL.  Mirtillo, tell us whither?
MIRT.  Where she and I shall never meet together.
MON.  Fore-fend it, Pan!  and Pales, do thou please
To give an end...  MIRT.  To what?  SIL.  Such griefs
as these.
MIRT.  Never, O never!  Still I may endure
The wound I suffer, never find a cure.
MON.  Love, for thy sake, will bring her to these hills
And dales again.  MIRT.  No, I will languish still;
And all the while my part shall be to weep;
And with my sighs call home my bleating sheep;
And in the rind of every comely tree
I'll carve thy name, and in that name kiss thee.
MON.  Set with the sun, thy woes!  SIL.  The day
grows old;
And time it is our full-fed flocks to fold.
CHOR.  The shades grow great; but greater grows
our sorrow:--
But let's go steep
Our eyes in sleep;
And meet to weep
To-morrow.",pastoral
"Lay a garland on my hearse,
Of the dismal yew,
Maidens, willow branches bear,
Say I died true.
My love was false, but I was firm
From my hour of birth;
Upon my buried body lie
Lightly, gentle earth.",lay
"Till I have peace with thee, warr other Men,
And when I have peace, can I leave thee then?
All other Warrs are scrupulous; Only thou
0 fayr free Citty, maist thyselfe allow
To any one: In Flanders, who can tell
Whether the Master presse; or men rebell?
Only we know, that which all Ideots say,
They beare most blows which come to part the fray.
France in her lunatique giddines did hate
Ever our men, yea and our God of late;
Yet she relyes upon our Angels well,
Which nere returne; no more than they which fell.
Sick Ireland is with a strange warr possest
Like to an Ague; now raging, now at rest;
Which time will cure: yet it must doe her good
If she were purg'd, and her head vayne let blood.
And Midas joyes our Spanish journeys give,
We touch all gold, but find no food to live.
And I should be in the hott parching clime,
To dust and ashes turn'd before my time.
To mew me in a Ship, is to inthrall
Mee in a prison, that weare like to fall;
Or in a Cloyster; save that there men dwell
In a calme heaven, here in a swaggering hell.
Long voyages are long consumptions,
And ships are carts for executions.
Yea they are Deaths; Is't not all one to flye
Into an other World, as t'is to dye?
Here lett mee warr; in these armes lett mee lye;
Here lett mee parle, batter, bleede, and dye.
Thyne armes imprison me, and myne armes thee,
Thy hart thy ransome is, take myne for mee.
Other men war that they their rest may gayne;
But wee will rest that wee may fight agayne.
Those warrs the ignorant, these th'experienc'd love,
There wee are alwayes under, here above.
There Engins farr off breed a just true feare,
Neere thrusts, pikes, stabs, yea bullets hurt not here.
There lyes are wrongs; here safe uprightly ly;
Tltere men kill men, we'will make one by and by,
Thou nothing; I not halfe so much shall do
In these Warrs, as they may which from us two
Shall spring. Thousands wee see which travaile not
To warrs; But stay swords, armes, and shott
To make at home; And shall not I do then
More glorious service, staying to make men?",elegy
"The Conceit//
Razia Pell​
It's only October.
The evening breeze is breathing the chill of winter.
Maple leaves are turning brown.
The flickering of lights from the distant poles are bored like beggars.
The rose-petals are mourning their deaths in the dust.
The earth knows its orbit- the sun seems to be lost...
I have turned my eyes.....the blinds.......
let the stars dance, rejoice and  witness dark blue nights.....",conceit
"Description: 1st op. theme
Sung by: BAAD
Lyrics: Yamada Kyoushi
Composition: Tatano Yoshio
Arrangement: Akashi Masao
Romanization/Translation: Takayama Miyuki & Serizawa Kamo
Original / Romaji Lyrics	English Translation
mabushii hizashi wo se ni
hashiridasu machi no naka
tatakareta   itsumo no you ni   kata wo
kimi ni muchuu na koto ni
wake nante nai no ni  [1]
sono ude wa   karamu koto wa nai [2]
Starting my run in the middle of town,
bright sunlight at my back,
as always, [you] tapped my shoulder
I'm so enthralled by you
- yet for reasons unknown [1]
your arm won't be linked to mine. [2]
itsu no ma ni ka   hitomi
ubawarete hajimatta
hanasanai    yuru ga nai [3]
Crazy for you
Before I realized it,
you stole my gaze, and it began.
I won't let you go.  I won't have any doubts.
Crazy for you. [3]
kimi ga suki da to sakebitai
ashita wo kaete miyou
kooritsuite'ku toki wo    buchikowashitai
kimi ga suki da to sakebitai
yuuki de fumidasou
kono atsui   omoi wo   uketomete hoshii
I want to shout 'I love you.'
Let's try to change tomorrow.
I want to smash this freezing (moment in)   time.
I want to shout 'I love you.'
Let's be brave and take a step forward.
I want you to receive these warm emotions.
zawameita FUROA ni
nigiwau TE-BURU goshi
nanigenai    kimi no shisen ni   yoishire
koi wo shite-iru you de
odoraserete'ru yo na
takanaru kodou ni   mou uso wa tsukenai
On the noisy floor,
across from me at the crowded table,
I'm lost in your casual glance.
It feels like I'm in love with you,
yet it's like I'm being toyed with.
I can't lie to my soaring hearbeat (emotions)   anymore.
itsu ni nareba   kawaru
kono modokashii   yuujou
todoketai   tashikametai
I take you away
When will it change,
this frustrating friendship?
I want to tell you.   I want to make sure.
I take you away.
kimi ga suki da to sakebitai
nanimokamo nugisute
kokoro tokasu kotoba wo   mitsuke dashitai
kimi ga suki da to sakebitai
kon'ya wa kaesanai [4]
mitsumeru dake no   hibi nante   owari ni shiyou
I wanna cry for you
I want to shout 'I love you.'
Let's leave everything behind.
I want to find the words to melt your heart.
I want to shout 'I love you.'
I won't let you leave me tonight. [4]
Let's end the days we don't get past just gazing at eachother
I wanna cry for you
[Instrumental]
[Instrumental]
kimi ga suki da to sakebitai
ashita wo kaete miyou
kooritsuite'ku toki wo    buchikowashitai
kimi ga suki da to sakebitai
yuuki de fumidasou
kono atsui   omoi wo   uketomete hoshii
I wanna cry for you
I want to shout 'I love you.'
Let's try to change tomorrow.
I want to smash this freezing (moment in)   time.
I want to shout 'I love you.'
Let's bravely take a step forward.
I want you to receive these warm emotions.
I wanna cry for you",slam
"'Tis growne almost a danger to speake true
Of any good minde, now: There are so few.
The bad, by number, are so fortified,
As what th'have lost t'expect, they dare deride.
So both the prais'd, and praisers suffer: Yet,
For others ill, ought none their good forget.
I, therefore, who professe my selfe in love
With every vertue, wheresoere it move,
And howsoever; as I am at fewd
With sinne and vice, though with a throne endew'd;
And, in this name, am given out dangerous
By arts, and practise of the vicious,
Such as suspect themselves, and think it fit
For their owne cap'tall crimes, t'indite my wit;
I, that have suffer'd this; and, though forsooke
Of Fortune, have not alter'd yet my looke,
Or so my selfe abandon'd, as because
Men are not just, or keepe no holy lawes
Of nature, and societie, I should faint;
Or feare to draw true lines, 'cause others paint:
I, Madame, am become your praiser. Where,
If it may stand with your soft blush to heare,
Your selfe but told unto your selfe, and see
In my character, what your features bee,
You will not from the paper slightly passe:
No Lady, but, at sometime loves her glasse.
And this shall be no false one, but as much
Remov'd, as you from need to have it such.
Looke then, and see your selfe. I will not say
Your beautie; for you see that every day:
And so doe many more. All which can call
It perfect, proper, pure, and naturall,
Not taken up o' th'Doctors, but as well
As I, can say, and see it doth excell.
That askes but to be censur'd by the eyes:
And, in those outward formes, all fooles are wise.
Nor that your beautie wanted not a dower,
Doe I reflect. Some Alderman has power,
Or cos'ning Farmer of the customes so,
T'advance his doubtfull issue, and ore-flow
A Princes fortune: These are gifts of chance,
And raise not vertue; they may vice enhance.
My mirror is more subtill, cleare, refin'd,
And takes, and gives the beauties of the mind.
Though it reject not those of Fortune: such
As Blood, and Match. Wherein, how more than much
Are you engaged to your happie fate,
For such a lot! that mixt you with a State
Of so great title, birth, but vertue most,
Without which, all the rest were sounds, or lost.
'Tis onely that can time, and chance defeat:
For he, that once is good, is ever great.
Wherewith, then, Madame, can you better pay
This blessing of your starres, than by that way
Of vertue, which you tread? what if alone?
Without companions? 'Tis safe to have none.
In single paths, dangers with ease are watch'd:
Contagion in the prease is soonest catch'd.
This makes, that wisely you decline your life,
Farre from the maze of custome, error, strife,
And keepe an even, and unalter'd gaite;
Not looking by, or back (like those, that waite
Times, and occasions, to start forth, and seeme)
Which though the turning world may dis-esteeme,
Because that studies spectacles, and showes,
And after varied, as fresh objects goes,
Giddie with change, and therefore cannot see
Right, the right way: yet must your comfort bee
Your conscience, and not wonder, if none askes
For Truths complexion, where they all weare maskes.
Let who will follow fashions, and attyres,
Maintaine their liedgers forth, for forrain wyres,
Melt downe their husbands land, to powre away
On the close groome, and page, on new-yeares day,
And almost, all dayes after, while they live;
(They finde it both so wittie, and safe to give)
Let 'hem on poulders, oyles, and paintings, spend,
Till that no usurer, nor his bawds dare lend
Them, or their officers: and no man know,
Whether it be a face they weare, or no.
Let 'hem waste body, and state; and after all,
When their owne Parasites laugh at their fall,
May they have nothing left, whereof they can
Boast, but how oft they have gone wrong to man:
And call it their brave sinne. For such there be
That doe sinne onely for the infamie:
And never think, how vice doth every houre,
Eat on her clients, and some one devoure.
You, Madam, yong have learn'd to shun these shelves,
Whereon the most of mankind wracke themselves,
And, keeping a just course, have early put
Into your harbour, and all passage shut
'Gainst stormes, or pyrats, that might charge your peace;
For which you worthy are the glad increase
Of your blest wombe, made fruitfull from above
To pay your lord the pledges of chaste love:
And raise a noble stemme, to give the fame,
To Cliftons blood, that is deny'd their name.
Grow, grow, faire tree, and as thy branches shoote,
Heare, what the Muses sing above thy root,
By me, their Priest (if they can ought divine)
Before the moones have fill'd their tripple trine,
To crowne the burthen which you go withall,
It shall a ripe and timely issue fall,
T'expect the honors of great 'Avbigny:
And greater rites, yet writ in mystery,
But which the Fates forbid me to reveale.
Only, thus much, out of a ravish'd zeale,
Unto your name, and goodnesse of your life,
They speake; since you are truly that rare wife,
Other great wives may blush at: when they see
What your try'd manners are, what theirs should be.
How you love one, and him you should; how still
You are depending on his word, and will;
Not fashion'd for the Court, or strangers eyes;
But to prease him, who is the dearer prise
Unto himselfe, by being so deare to you.
This makes, that your affections still be new,
And that your soules conspire, as they were gone
Each into other, and had now made one.
Live that one, still; and as long yeares do passe,
Madame, be bold to use this truest glasse:
Wherein, your forme, you still the same shall find;
Because nor it can change, nor such a mind.",epistle
"Pay me my price, potters! and I will sing.
Attend, O Pallas! and with lifted arm
Protect their oven; let the cups and all
The sacred vessels black well, and, baked
With good success, yield them both fair renown
And profit, whether in the market sold
Or streets, and let no strife ensue between us.
But, oh ye potters! if with shameless front
Ye falsify your promise, then I leave
No mischief uninvoked to avenge the wrong.
Come, Syntrips, Smaragus, Sabactes, come,
And Asbetus, nor let your direst dread,
Omodamus, delay! Fire seize your house,
May neither house nor vestibule escape,
May ye lament to see confusion mar
And mingle the whole labor of your hands,
And may a sound fill all your oven, such
As of a horse grinding his provender,
While all your pots and flagons bounce within.
Come hither, also, daughter of the sun,
Circe the sorceress, and with thy drugs
Poison themselves, and all that they have made
Of centaurs, as well those who died beneath
The club of Hercules, as who escaped,
And stamp their crockery to dust; down fall
Their chimney; let them see it with their eyes
And howl to see the ruin of their art,
While I rejoice; and if a potter stoop
To peep into his furnace, may the fire
Flash in his face and scorch it, that all men
Observe, thenceforth, equity and good faith.",epigram
"Life is just too short as it is
We all need someone to love to
You need to think of others too
Don't think all the time of just you
Think of others who have needs too
Life is just too short as it is
Some go thru worse things than we do
So help, pray for those that you know
Sometimes we have to take a stand
Be strong and voice your concerns too
Life is just too short as it is
So be true and believe in you!
Believe in better tomorrow
Direct emotions to calmness
Live life, love long, enjoy it all
Life is just too short as it is.",quatern
"GALLUS
This now, the very latest of my toils,
Vouchsafe me, Arethusa! needs must I
Sing a brief song to Gallus- brief, but yet
Such as Lycoris' self may fitly read.
Who would not sing for Gallus? So, when thou
Beneath Sicanian billows glidest on,
May Doris blend no bitter wave with thine,
Begin! The love of Gallus be our theme,
And the shrewd pangs he suffered, while, hard by,
The flat-nosed she-goats browse the tender brush.
We sing not to deaf ears; no word of ours
But the woods echo it. What groves or lawns
Held you, ye Dryad-maidens, when for love-
Love all unworthy of a loss so dear-
Gallus lay dying? for neither did the slopes
Of Pindus or Parnassus stay you then,
No, nor Aonian Aganippe. Him
Even the laurels and the tamarisks wept;
For him, outstretched beneath a lonely rock,
Wept pine-clad Maenalus, and the flinty crags
Of cold Lycaeus. The sheep too stood around-
Of us they feel no shame, poet divine;
Nor of the flock be thou ashamed: even fair
Adonis by the rivers fed his sheep-
Came shepherd too, and swine-herd footing slow,
And, from the winter-acorns dripping-wet
Menalcas. All with one accord exclaim:
'From whence this love of thine?' Apollo came;
'Gallus, art mad?' he cried, 'thy bosom's care
Another love is following.'Therewithal
Silvanus came, with rural honours crowned;
The flowering fennels and tall lilies shook
Before him. Yea, and our own eyes beheld
Pan, god of Arcady, with blood-red juice
Of the elder-berry, and with vermilion, dyed.
'Wilt ever make an end?' quoth he, 'behold
Love recks not aught of it: his heart no more
With tears is sated than with streams the grass,
Bees with the cytisus, or goats with leaves.'
'Yet will ye sing, Arcadians, of my woes
Upon your mountains,' sadly he replied-
'Arcadians, that alone have skill to sing.
O then how softly would my ashes rest,
If of my love, one day, your flutes should tell!
And would that I, of your own fellowship,
Or dresser of the ripening grape had been,
Or guardian of the flock! for surely then,
Let Phyllis, or Amyntas, or who else,
Bewitch me- what if swart Amyntas be?
Dark is the violet, dark the hyacinth-
Among the willows, 'neath the limber vine,
Reclining would my love have lain with me,
Phyllis plucked garlands, or Amyntas sung.
Here are cool springs, soft mead and grove, Lycoris;
Here might our lives with time have worn away.
But me mad love of the stern war-god holds
Armed amid weapons and opposing foes.
Whilst thou- Ah! might I but believe it not!-
Alone without me, and from home afar,
Look'st upon Alpine snows and frozen Rhine.
Ah! may the frost not hurt thee, may the sharp
And jagged ice not wound thy tender feet!
I will depart, re-tune the songs I framed
In verse Chalcidian to the oaten reed
Of the Sicilian swain. Resolved am I
In the woods, rather, with wild beasts to couch,
And bear my doom, and character my love
Upon the tender tree-trunks: they will grow,
And you, my love, grow with them. And meanwhile
I with the Nymphs will haunt Mount Maenalus,
Or hunt the keen wild boar. No frost so cold
But I will hem with hounds thy forest-glades,
Parthenius. Even now, methinks, I range
O'er rocks, through echoing groves, and joy to launch
Cydonian arrows from a Parthian bow.-
As if my madness could find healing thus,
Or that god soften at a mortal's grief!
Now neither Hamadryads, no, nor songs
Delight me more: ye woods, away with you!
No pangs of ours can change him; not though we
In the mid-frost should drink of Hebrus' stream,
And in wet winters face Sithonian snows,
Or, when the bark of the tall elm-tree bole
Of drought is dying, should, under Cancer's Sign,
In Aethiopian deserts drive our flocks.
Love conquers all things; yield we too to love!'
These songs, Pierian Maids, shall it suffice
Your poet to have sung, the while he sat,
And of slim mallow wove a basket fine:
To Gallus ye will magnify their worth,
Gallus, for whom my love grows hour by hour,
As the green alder shoots in early Spring.
Come, let us rise: the shade is wont to be
Baneful to singers; baneful is the shade
Cast by the juniper, crops sicken too
In shade. Now homeward, having fed your fill-
Eve's star is rising-go, my she-goats, go",eclogue
"Big and wide
The tree is that,
But griefs are
In fact, that
No flower
No fruit.
Copyright © Muzahidul Reza │21 January,2018",allegory
"Because we believe the material life is good
We test it and find this in it
Quite often ignoring to our detriment
The other plane called spirit.
A classic case of 'either-or' not untypical of European thought
The challenge is to come to Asia's wisdom of 'both-and'
And expand our possibilities.",pastoral
"Your smile
So beautiful
makes robins sing in spring
makes leaves square dance in windy fall,
sweltering summer days quite bareable,
wraps warmth around winter snow falls.
Your laughter rings softly;
my heart's music!
Play on!
Dorothy Alves Holmes
A Poet Who Loves To Sing",rictameter
